Game ID,2nd Chance Points Away,2nd Chance Points Home,3 Point % Away,3 Point % Home,3PM Away,3PA Away,3PM Home,3PA Home,Assists Away,Assists Home,Away,Bench Points Away,Bench Points Home,Fastbreak Points Away,Fastbreak Points Home,Field Goal % Away,Field Goal % Home,FGM Away,FGA Away,FGM Home,FGA Home,Free Throw % Away,Free Throw % Home,FTM Away,FTA Away,FTM Home,FTA Home,Home,Largest Lead Away,Largest Lead Home,Lead Changes,Loser,Loser 1st Qtr Pts,Loser 2nd Qtr Pts,Loser 3rd Qtr Pts,Loser 4th Qtr Pts,Loser OT Points,Loser Total Pts,Points in the Paint Away,Points in the Paint Home,Points off Turnovers Away,Points off Turnovers Home,Rebounds Away,Rebounds Home,Ties,Time of Largest Lead Away,Time of Largest Lead Home,Turnovers Away,Turnovers Home,Winner,Winner 1st Qtr Pts,Winner 2nd Qtr Pts,Winner 3rd Qtr Pts,Winner 4th Qtr Pts,Winner OT Points,Winner Total Pts,Season,Date
http://oua.ca/sports/mbkb/2018-19/boxscores/20180929_ket6.xml?view=teamstats,12,7,0.5,0.385,14,28,10,26,30,10,Carleton,59,29,0,0,0.58,0.393,40,69,24,61,0.765,0.889,13,17,8,9,Bishop's,41,0,0,Bishop's,7,20,23,16,0,66,8,4,23,5,36,24,0,4th -- 00:28, -- ,6,20,Carleton,29,27,30,21,0,107,2018-19,20180929
http://oua.ca/sports/mbkb/2015-16/boxscores/20151114_ml0v.xml?view=teamstats,10,7,0.368,0.269,7,19,7,26,5,6,Laurier,13,16,,,0.338,0.309,27,80,21,68,0.692,0.75,18,26,21,28,Algoma,12,4,5,Algoma,14,14,18,22,2,70,,,18,13,49,41,5,4th -- 08:00,1st -- 05:57,17,19,Laurier,20,13,21,14,11,79,2015-16,20151114
http://oua.ca/sports/mbkb/2018-19/boxscores/20181201_7ufz.xml?view=teamstats,13,10,0.353,0.308,12,34,8,26,16,17,Queen's,18,17,5,0,0.432,0.371,32,74,26,70,0.571,0.69,12,21,20,29,McMaster,8,4,13,McMaster,18,18,19,23,2,80,34,32,17,24,47,47,14,OT -- 00:11,1st -- 08:21,17,18,Queen's,18,24,12,24,10,88,2018-19,20181201
http://oua.ca/sports/mbkb/2015-16/boxscores/20151127_2xxv.xml?view=teamstats,16,21,0.346,0.364,9,26,8,22,8,12,Lakehead,7,8,,,0.389,0.379,28,72,33,87,0.625,0.727,15,24,8,11,Brock,5,8,11,Lakehead,18,17,23,18,4,80,,,11,18,47,55,14,4th -- 09:24,2nd -- 03:56,14,11,Brock,20,19,17,20,6,82,2015-16,20151127
http://oua.ca/sports/mbkb/2015-16/boxscores/20151107_pd4r.xml?view=teamstats,10,9,0.133,0.286,2,15,4,14,11,10,Western,16,76,,,0.397,0.347,27,68,25,72,0.75,0.957,15,20,22,23,Laurier,9,9,10,Western,19,19,16,12,5,71,,,19,15,43,31,12,2nd -- 01:48,1st -- 03:54,14,14,Laurier,20,11,23,12,10,76,2015-16,20151107
http://oua.ca/sports/mbkb/2016-17/boxscores/20161111_byiv.xml?view=teamstats,17,22,0.269,0.241,7,26,7,29,15,13,Lakehead,19,14,6,4,0.367,0.375,29,79,30,80,0.524,0.789,11,21,15,19,McMaster,7,8,11,Lakehead,6,25,18,22,5,76,30,36,7,17,44,44,11,3rd -- 07:15,4th -- 05:07,14,15,McMaster,13,15,23,20,11,82,2016-17,20161111
http://oua.ca/sports/mbkb/2018-19/boxscores/20190119_744i.xml?view=teamstats,10,7,0.406,0.522,13,32,12,23,11,14,Laurier,19,30,,,0.473,0.462,35,74,30,65,0.684,0.714,13,19,15,21,Algoma,10,8,13,Algoma,22,15,24,21,5,87,,,25,11,34,29,7,OT -- 01:49,1st -- 01:45,17,20,Laurier,18,22,19,23,14,96,2018-19,20190119
http://oua.ca/sports/mbkb/2015-16/boxscores/20160219_3dir.xml?view=teamstats,7,16,0.24,0.125,6,25,3,24,15,14,Laurentian,16,13,,,0.343,0.308,24,70,24,78,0.765,0.594,13,17,19,32,Brock,14,4,5,Laurentian,17,18,17,9,6,67,,,15,17,49,60,6,3rd -- 03:08,OT -- 00:57,19,20,Brock,11,13,16,21,9,70,2015-16,20160219
http://oua.ca/sports/mbkb/2016-17/boxscores/20161111_vwls.xml?view=teamstats,5,8,0.2,0.28,6,30,7,25,10,7,Algoma,24,17,,,0.293,0.386,22,75,27,70,0.625,0.667,15,24,10,15,Laurier,5,7,15,Algoma,14,15,15,15,6,65,,,18,14,41,50,15,3rd -- 07:01,OT -- 00:39,15,20,Laurier,16,13,13,17,12,71,2016-17,20161111
http://oua.ca/sports/mbkb/2018-19/boxscores/20190202_0ouj.xml?view=teamstats,11,16,0.263,0.333,5,19,9,27,8,13,Guelph,87,85,,,0.397,0.388,29,73,31,80,0.649,0.583,24,37,14,24,Algoma,4,10,21,Algoma,20,22,22,15,6,85,,,2,9,48,47,10,2nd -- 03:43,4th -- 08:16,8,8,Guelph,16,25,17,21,8,87,2018-19,20190202
http://oua.ca/sports/mbkb/2015-16/boxscores/20160212_ypra.xml?view=teamstats,9,8,0.345,0.286,10,29,6,21,14,10,Windsor,2,18,,,0.405,0.493,32,79,33,67,0.571,0.619,12,21,13,21,York,6,10,7,York,20,15,21,22,7,85,,,14,14,37,41,8,1st -- 06:14,2nd -- 09:46,11,14,Windsor,17,21,21,19,8,86,2015-16,20160212
http://oua.ca/sports/mbkb/2016-17/boxscores/20170215_zfrf.xml?view=teamstats,21,17,0.333,0.344,9,27,11,32,15,15,McMaster,22,28,,,0.41,0.405,32,78,32,79,0.538,0.615,14,26,16,26,Windsor,11,4,5,McMaster,21,21,24,14,7,87,,,12,10,63,54,6,4th -- 04:55,OT -- 00:01,15,14,Windsor,13,26,20,21,11,91,2016-17,20170215
http://oua.ca/sports/mbkb/2017-18/boxscores/20180127_4oqg.xml?view=teamstats,7,25,0.371,0.421,13,35,8,19,19,13,Western,23,31,,,0.44,0.465,37,84,33,71,0.727,0.739,8,11,17,23,Algoma,5,13,5,Algoma,28,13,25,18,7,91,,,23,7,32,49,8,2nd -- 04:09,4th -- 05:21,8,18,Western,22,21,17,22,13,95,2017-18,20180127
http://oua.ca/sports/mbkb/2017-18/boxscores/20180106_i9xg.xml?view=teamstats,6,17,0.269,0.4,7,26,10,25,10,21,Queen's,17,7,,,0.364,0.373,24,66,28,75,0.682,0.417,15,22,5,12,Laurentian,4,10,10,Queen's,15,15,18,15,7,70,,,15,10,41,55,7,1st -- 01:16,4th -- 05:01,10,12,Laurentian,14,21,17,11,8,71,2017-18,20180106
http://oua.ca/sports/mbkb/2018-19/boxscores/20190208_wdx2.xml?view=teamstats,5,10,0.289,0.324,11,38,11,34,10,15,Ottawa,19,20,0,0,0.377,0.375,29,77,27,72,0.545,0.591,6,11,13,22,Queen's,5,21,2,Ottawa,8,14,21,25,7,75,0,0,17,10,41,52,5,4th -- 02:53,3rd -- 09:07,18,17,Queen's,22,18,18,10,10,78,2018-19,20190208
http://oua.ca/sports/mbkb/2014-15/boxscores/20150108_rvta.xml?view=teamstats,16,12,0.35,0.316,7,20,6,19,11,18,Western,7,23,0,0,0.43,0.41,34,79,25,61,0.667,0.771,10,15,27,35,Windsor,6,6,16,Windsor,19,17,21,18,8,83,8,10,17,25,47,39,21,3rd -- 07:23,1st -- 04:27,22,17,Western,21,19,18,17,10,85,2014-15,20150108
http://oua.ca/sports/mbkb/2015-16/boxscores/20160226_ilti.xml?view=teamstats,4,22,0.395,0.323,15,38,10,31,13,19,Toronto,18,37,,,0.411,0.417,30,73,35,84,0.947,0.708,18,19,17,24,York,5,13,13,Toronto,17,15,25,28,8,93,,,12,14,31,47,6,1st -- 07:50,2nd -- 04:43,13,8,York,20,18,16,31,12,97,2015-16,20160226
http://oua.ca/sports/mbkb/2016-17/boxscores/20161123_ygtk.xml?view=teamstats,26,13,0.294,0.192,10,34,5,26,13,15,Laurier,31,36,,,0.402,0.378,33,82,34,90,0.778,0.423,14,18,11,26,Western,11,9,7,Western,15,14,21,20,8,78,,,10,25,54,47,6,4th -- 05:17,2nd -- 09:39,24,12,Laurier,8,22,19,21,8,78,2016-17,20161123
http://oua.ca/sports/mbkb/2017-18/boxscores/20171108_13kt.xml?view=teamstats,7,11,0.333,0.219,6,18,7,32,13,8,Brock,10,17,,,0.462,0.353,30,65,24,68,0.636,0.625,14,22,20,32,Ryerson,13,4,6,Ryerson,14,22,14,17,8,75,,,23,23,45,43,6,1st -- 03:43,3rd -- 09:50,24,23,Brock,22,13,18,14,13,80,2017-18,20171108
http://oua.ca/sports/mbkb/2017-18/boxscores/20171124_u9qn.xml?view=teamstats,15,12,0.216,0.244,8,37,10,41,12,16,Waterloo,14,23,,,0.346,0.415,28,81,34,82,0.792,0.588,19,24,10,17,Ryerson,4,18,4,Waterloo,21,13,21,20,8,83,,,11,11,50,56,2,OT -- 02:35,3rd -- 06:27,10,10,Ryerson,24,22,21,8,13,88,2017-18,20171124
http://oua.ca/sports/mbkb/2018-19/boxscores/20190119_dg90.xml?view=teamstats,12,8,0.438,0.359,14,32,14,39,20,21,Brock,12,29,,,0.395,0.462,34,86,36,78,0.688,0.545,11,16,12,22,Windsor,17,9,10,Brock,27,21,14,23,8,93,,,13,8,47,42,3,4th -- 06:44,OT -- 00:21,11,14,Windsor,20,16,20,29,13,98,2018-19,20190119
http://oua.ca/sports/mbkb/2018-19/boxscores/20181124_qras.xml?view=teamstats,5,6,0.2,0.191,5,25,9,47,14,14,York,28,40,,,0.41,0.34,41,100,34,100,0.758,0.73,25,33,27,37,Lakehead,10,11,8,Lakehead,18,18,16,26,8,86,,,7,21,58,45,11,OT3 -- 00:25,2nd -- 07:05,21,17,York,16,14,26,22,8,86,2018-19,20181124
http://oua.ca/sports/mbkb/2016-17/boxscores/20161105_7bq7.xml?view=teamstats,12,11,0.524,0.391,11,21,9,23,15,12,Toronto,95,90,,,0.44,0.429,33,75,30,70,0.667,0.656,18,27,21,32,Waterloo,9,5,8,Waterloo,18,20,21,22,9,90,,,21,12,30,40,6,4th -- 08:29,3rd -- 08:48,12,19,Toronto,21,17,26,17,14,95,2016-17,20161105
http://oua.ca/sports/mbkb/2017-18/boxscores/20171202_uoxp.xml?view=teamstats,18,11,0.263,0.35,10,38,7,20,14,17,Carleton,22,12,0,0,0.321,0.371,27,84,23,62,0.533,0.688,16,30,22,32,Brock,12,6,8,Brock,14,17,19,16,9,75,0,0,23,14,58,47,6,3rd -- 08:41,4th -- 07:01,14,23,Carleton,19,20,14,13,14,80,2017-18,20171202
http://oua.ca/sports/mbkb/2018-19/boxscores/20190209_6fjg.xml?view=teamstats,19,19,0.359,0.4,14,39,10,25,14,18,Western,26,24,,,0.379,0.443,33,87,31,70,0.696,0.76,16,23,19,25,Brock,14,6,6,Brock,16,23,17,26,9,91,,,30,18,50,49,6,3rd -- 00:33,4th -- 01:39,21,29,Western,26,17,26,13,14,96,2018-19,20190209
http://oua.ca/sports/mbkb/2018-19/boxscores/20190105_mlsf.xml?view=teamstats,7,16,0.346,0.25,9,26,4,16,15,10,Lakehead,58,10,,,0.418,0.389,33,79,28,72,0.571,0.838,12,21,31,37,Guelph,15,8,8,Lakehead,22,21,15,20,9,87,,,24,11,35,46,5,2nd -- 01:29,1st -- 07:24,12,18,Guelph,18,12,29,19,13,91,2018-19,20190105
http://oua.ca/sports/mbkb/2018-19/boxscores/20190125_3axo.xml?view=teamstats,15,5,0.19,0.219,4,21,7,32,13,22,Nipissing,33,16,0,0,0.375,0.405,30,80,30,74,0.688,0.654,11,16,17,26,Queen's,8,9,5,Nipissing,15,12,21,18,9,75,0,4,12,28,53,39,11,4th -- 04:26,OT -- 00:18,19,12,Queen's,14,18,11,23,18,84,2018-19,20190125
http://oua.ca/sports/mbkb/2014-15/boxscores/20141122_9h0i.xml?view=teamstats,11,16,0.308,0.458,8,26,11,24,11,21,Queen's,15,21,0,0,0.413,0.464,33,80,32,69,0.714,0.793,15,21,23,29,Brock,4,22,3,Queen's,14,18,21,26,10,89,34,28,26,10,42,49,2,1st -- 08:55,3rd -- 05:55,10,19,Brock,26,22,23,8,19,98,2014-15,20141122
http://oua.ca/sports/mbkb/2014-15/boxscores/20150207_bn0x.xml?view=teamstats,5,11,0.364,0.316,8,22,6,19,23,17,Western,25,13,,,0.464,0.406,32,69,28,69,0.469,0.692,15,32,18,26,Laurentian,7,8,16,Laurentian,19,14,22,15,10,80,,,16,18,39,42,11,OT -- 00:17,3rd -- 00:56,14,18,Western,18,17,14,21,17,87,2014-15,20150207
http://oua.ca/sports/mbkb/2015-16/boxscores/20151114_0bnx.xml?view=teamstats,14,25,0.219,0.4,7,32,10,25,20,18,York,26,27,,,0.506,0.427,40,79,32,75,0.545,0.917,12,22,22,24,Laurentian,5,13,22,Laurentian,20,22,19,25,10,96,,,23,17,30,45,12,1st -- 09:27,3rd -- 02:48,22,31,York,20,23,15,28,13,99,2015-16,20151114
http://oua.ca/sports/mbkb/2016-17/boxscores/20170218_138r.xml?view=teamstats,15,14,0.406,0.4,13,32,12,30,12,19,Ryerson,0,36,,,0.395,0.493,30,76,33,67,0.875,0.345,21,24,10,29,Ottawa,7,14,13,Ottawa,17,24,14,23,10,88,,,5,17,45,42,8,4th -- 05:16,2nd -- 04:45,13,14,Ryerson,8,28,21,21,16,94,2016-17,20170218
http://oua.ca/sports/mbkb/2017-18/boxscores/20171202_2wj0.xml?view=teamstats,15,14,0.29,0.353,9,31,12,34,15,20,Ottawa,15,20,0,0,0.515,0.408,34,66,31,76,0.6,0.767,24,40,23,30,McMaster,15,8,8,McMaster,22,17,15,33,10,97,0,0,21,21,40,40,6,3rd -- 08:13,2nd -- 06:57,18,13,Ottawa,18,32,19,18,14,101,2017-18,20171202
http://oua.ca/sports/mbkb/2018-19/boxscores/20181109_ei99.xml?view=teamstats,15,4,0.095,0.211,2,21,4,19,8,10,Algoma,26,39,,,0.368,0.485,28,76,32,66,0.742,0.586,23,31,17,29,York,9,13,4,Algoma,12,16,26,17,10,81,,,10,15,48,28,6,4th -- 09:40,2nd -- 03:44,14,14,York,18,20,9,24,14,85,2018-19,20181109
http://oua.ca/sports/mbkb/2018-19/boxscores/20181012_ujl2.xml?view=teamstats,15,11,0.356,0.44,16,45,11,25,26,11,McMaster,18,21,0,0,0.441,0.525,45,102,42,80,0.222,0.697,4,18,23,33,Holland,9,21,9,McMaster,31,14,21,34,10,110,54,52,22,12,41,48,6,1st -- 00:27,3rd -- 05:03,12,16,Holland,26,22,27,25,18,118,2018-19,20181012
http://oua.ca/sports/mbkb/2018-19/boxscores/20181012_73xx.xml?view=teamstats,13,5,0.182,0.346,4,22,9,26,13,13,Waterloo,14,17,,,0.37,0.361,30,81,30,83,0.577,0.536,15,26,15,28,Bishop's,9,8,14,Waterloo,26,8,19,16,10,79,,,11,11,53,43,9,1st -- 02:01,OT -- 00:36,14,13,Bishop's,17,18,16,18,15,84,2018-19,20181012
http://oua.ca/sports/mbkb/2015-16/boxscores/20160212_tep3.xml?view=teamstats,14,9,0.37,0.419,10,27,13,31,12,24,Western,9,25,0,0,0.435,0.484,30,69,31,64,0.667,0.8,20,30,24,30,Queen's,6,10,3,Western,10,23,17,28,12,90,0,0,17,21,32,35,8,2nd -- 02:18,1st -- 05:40,19,21,Queen's,16,15,25,22,21,99,2015-16,20160212
http://oua.ca/sports/mbkb/2018-19/boxscores/20181124_sgal.xml?view=teamstats,19,9,0.357,0.314,10,28,11,35,16,14,Nipissing,34,22,,,0.449,0.474,35,78,36,76,0.676,0.806,23,34,25,31,Laurier,9,10,4,Nipissing,13,22,29,27,12,103,,,10,14,47,41,10,4th -- 04:35,2nd -- 08:55,13,10,Laurier,18,20,22,31,17,108,2018-19,20181124
http://oua.ca/sports/mbkb/2016-17/boxscores/20161029_y0uz.xml?view=teamstats,18,15,0.333,0.357,8,24,5,14,16,16,Bishop's,23,8,,,0.486,0.417,36,74,30,72,0.5,0.721,12,24,31,43,Waterloo,20,8,9,Bishop's,26,15,24,14,13,92,,,20,32,46,42,7,2nd -- 06:59,OT -- 00:39,25,15,Waterloo,10,25,23,21,17,96,2016-17,20161029
http://oua.ca/sports/mbkb/2018-19/boxscores/20181116_4smu.xml?view=teamstats,17,24,0.292,0.25,7,24,6,24,11,12,Laurentian,21,27,,,0.485,0.388,33,68,31,80,0.565,0.739,13,23,17,23,Algoma,11,7,8,Algoma,13,19,20,20,13,85,,,14,6,38,40,7,2nd -- 10:00,4th -- 05:52,13,12,Laurentian,20,18,14,20,14,86,2018-19,20181116
http://oua.ca/sports/mbkb/2016-17/boxscores/20161229_14n5.xml?view=teamstats,8,13,0.407,0.188,11,27,3,16,15,14,Queen's,29,18,2,0,0.42,0.421,29,69,32,76,0.63,0.647,17,27,22,34,Saint Mary's,11,13,6,Queen's,20,14,15,23,14,86,30,48,16,20,49,47,7,2nd -- 03:14,4th -- 06:17,20,13,Saint Mary's,15,14,25,18,17,89,2016-17,20161229
http://oua.ca/sports/mbkb/2017-18/boxscores/20180126_r2d3.xml?view=teamstats,9,15,0.29,0.389,9,31,14,36,12,15,Ottawa,37,9,2,0,0.484,0.431,31,64,31,72,0.636,0.679,21,33,19,28,Ryerson,10,7,6,Ottawa,19,22,16,20,15,92,34,32,21,22,43,42,6,2nd -- 05:06,1st -- 06:33,20,15,Ryerson,13,23,19,22,18,95,2017-18,20180126
http://oua.ca/sports/mbkb/2016-17/boxscores/20170218_xxwk.xml?view=teamstats,8,15,0.273,0.268,6,22,11,41,11,13,Nipissing,30,24,,,0.408,0.375,29,71,33,88,0.657,0.611,23,35,11,18,Algoma,3,9,16,Nipissing,13,18,21,18,17,87,,,7,12,47,45,12,1st -- 08:13,3rd -- 01:26,15,7,Algoma,20,16,20,14,18,88,2016-17,20170218
http://oua.ca/sports/mbkb/2014-15/boxscores/20141122_kkin.xml?view=teamstats,18,2,0.536,0.133,15,28,2,15,24,2,Carleton,43,18,,,0.552,0.273,37,67,15,55,0.667,0.571,10,15,4,7,Waterloo,,,0,Waterloo,2,10,11,13,,36,,,24,8,50,16,0,,,11,14,Carleton,24,24,27,24,,99,2014-15,20141122
http://oua.ca/sports/mbkb/2016-17/boxscores/20170218_atf8.xml?view=teamstats,2,9,0.2,0.528,6,30,19,36,7,29,Toronto,14,51,,,0.19,0.597,12,63,37,62,0.75,0.875,6,8,7,8,Carleton,2,65,1,Toronto,7,16,4,9,,36,,,14,17,20,42,0,1st -- 09:45,4th -- 00:29,11,12,Carleton,23,28,27,22,,100,2016-17,20170218
http://oua.ca/sports/mbkb/2018-19/boxscores/20181123_fln4.xml?view=teamstats,2,18,0.194,0.343,7,36,12,35,8,23,Windsor,15,31,2,9,0.231,0.47,15,65,39,83,0.333,0.5,1,3,4,8,Ryerson,2,56,1,Windsor,12,6,10,10,,38,16,45,8,39,37,58,1,1st -- 09:31,4th -- 00:27,27,17,Ryerson,22,30,20,22,,94,2018-19,20181123
http://oua.ca/sports/mbkb/2014-15/boxscores/20150220_yn22.xml?view=teamstats,3,12,0.176,0.5,3,17,11,22,8,16,Laurentian,6,14,,,0.327,0.516,16,49,32,62,0.4,0.625,4,10,10,16,Carleton,2,47,4,Laurentian,13,13,7,6,,39,,,4,15,25,40,2,2nd -- 05:49,4th -- 04:25,11,7,Carleton,19,20,31,15,,85,2014-15,20150220
http://oua.ca/sports/mbkb/2015-16/boxscores/20160227_jz7e.xml?view=teamstats,8,2,0.222,0.333,4,18,5,15,16,11,Carleton,33,11,,,0.453,0.255,29,64,13,51,0.75,0.889,6,8,8,9,Nipissing,39,2,6,Nipissing,10,7,10,12,,39,,,27,11,30,27,1,4th -- 05:06,1st -- 02:39,15,20,Carleton,11,24,24,9,,68,2015-16,20160227
http://oua.ca/sports/mbkb/2018-19/boxscores/20181202_1iuo.xml?view=teamstats,8,7,0.263,0.13,5,19,3,23,23,7,Carleton,60,10,,,0.537,0.206,36,67,14,68,0.565,0.889,13,23,8,9,Guelph,,,0,Guelph,7,9,14,9,,39,,,25,7,46,31,0,,,12,21,Carleton,21,29,23,17,,90,2018-19,20181202
