GameID,Team,Season,FT%,FTM,FTA,FG%,FGM,FGA,3Point%,3PM,3PA,SecondChancePts,Assists,Rebounds,BenchPoints,FastbreakPts,PointsinthePaint,PointsOffTurnovers,Turnovers,LargestLead,TimeofLargestLead,LeadChanges,Ties,FirstQtr,SecondQtr,ThirdQtr,FourthQtr,TotalPoints,Win,Home
http://oua.ca/sports/mbkb/2014-15/boxscores/20141003_wswk.xml?view=teamstats,Guelph,2014-15,0.581,18,31,0.338,24,71,0.321,9,28,20,8,40,30,,,11,15,7,1st -- 02:02,12,8,22,18,17,18,75,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141003_wswk.xml?view=teamstats,Queen's,2014-15,0.58,29,50,0.451,23,51,0.25,3,12,7,8,37,19,,,12,13,8,4th -- 07:17,12,8,18,26,18,16,78,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141004_i0t0.xml?view=teamstats,Queen's,2014-15,0.731,19,26,0.353,18,51,0.227,5,22,2,7,34,15,,,19,30,7,1st -- 06:29,5,8,12,16,20,12,60,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141004_i0t0.xml?view=teamstats,Trinity Western,2014-15,0.563,18,32,0.4,24,60,0.167,3,18,9,11,46,16,,,32,28,9,2nd -- 09:01,5,8,18,15,15,21,69,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141004_wj8p.xml?view=teamstats,Dalhousie,2014-15,0.704,19,27,0.509,29,57,0.364,8,22,15,17,42,29,0,0,19,22,15,4th -- 03:59,7,7,17,22,24,22,85,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141004_wj8p.xml?view=teamstats,Toronto,2014-15,0.833,20,24,0.369,24,65,0.321,9,28,16,16,37,9,0,0,17,17,10,1st -- 03:00,7,7,24,16,16,21,77,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141005_kxa2.xml?view=teamstats,Dalhousie,2014-15,0.778,14,18,0.592,29,49,0.5,4,8,5,9,13,76,,,8,12,3,2nd -- 10:00,8,2,21,20,17,18,76,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141005_kxa2.xml?view=teamstats,York,2014-15,0.783,18,23,0.63,34,54,0.588,10,17,11,14,16,96,,,22,13,27,4th -- 03:38,8,2,22,20,34,20,96,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141005_ph9j.xml?view=teamstats,McGill,2014-15,0.6,12,20,0.296,21,71,0.241,7,29,17,10,41,32,,,18,12,,,0,0,6,16,17,22,61,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141005_ph9j.xml?view=teamstats,Queen's,2014-15,0.571,8,14,0.518,29,56,0.458,11,24,9,16,41,22,,,10,18,,,0,0,22,15,18,22,77,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141015_zr3r.xml?view=teamstats,Laurier,2014-15,0.529,9,17,0.338,25,74,0.19,4,21,16,8,39,31,6,36,11,20,0,--,0,0,8,16,24,15,63,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141015_zr3r.xml?view=teamstats,Saint Mary's,2014-15,0.686,24,35,0.534,31,58,0.214,3,14,5,13,43,11,16,48,21,14,26,4th -- 01:31,0,0,23,24,18,24,89,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141016_36ce.xml?view=teamstats,Dalhousie,2014-15,0.575,23,40,0.417,30,72,0.25,4,16,19,10,51,36,2,52,22,10,22,3rd -- 07:47,0,0,25,19,23,20,87,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141016_36ce.xml?view=teamstats,Laurier,2014-15,0.75,15,20,0.406,28,69,0.421,8,19,10,14,42,33,2,26,12,20,0,--,0,0,17,9,32,21,79,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141016_mxzn.xml?view=teamstats,Trinity Western,2014-15,0.813,13,16,0.391,25,64,0.222,4,18,16,15,36,21,6,38,16,19,5,1st -- 05:38,1,3,16,17,19,15,67,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141016_mxzn.xml?view=teamstats,Western,2014-15,0.792,19,24,0.433,26,60,0.421,8,19,9,15,34,14,6,30,20,13,16,4th -- 07:18,1,3,23,18,22,16,79,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141017_kceo.xml?view=teamstats,Thompson Rivers,2014-15,0.727,16,22,0.357,20,56,0.238,5,21,11,10,37,22,,,10,28,,,0,2,14,11,21,15,61,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141017_kceo.xml?view=teamstats,Windsor,2014-15,0.696,16,23,0.464,32,69,0.393,11,28,13,21,41,26,,,38,18,,,0,2,27,24,14,26,91,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141017_z3je.xml?view=teamstats,UBC,2014-15,0.714,20,28,0.564,31,55,0.333,5,15,16,21,41,33,4,50,18,20,18,4th -- 00:58,0,2,18,17,24,28,87,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141017_z3je.xml?view=teamstats,Western,2014-15,0.783,18,23,0.361,22,61,0.286,8,28,12,14,26,28,4,18,20,15,0,--,0,2,9,19,22,20,70,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_1jun.xml?view=teamstats,Thompson Rivers,2014-15,0.875,14,16,0.58,29,50,0.444,8,18,11,22,39,11,8,26,12,20,20,3rd -- 05:10,1,0,19,28,11,22,80,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_1jun.xml?view=teamstats,Western,2014-15,0.684,13,19,0.419,26,62,0.15,3,20,4,13,19,19,10,40,22,11,1,2nd -- 09:48,1,0,18,14,18,18,68,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_2m26.xml?view=teamstats,Ottawa,2014-15,0.733,11,15,0.558,43,77,0.375,9,24,17,23,40,28,,,31,13,20,4th -- 01:31,4,1,29,22,24,31,106,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_2m26.xml?view=teamstats,StFX,2014-15,0.706,12,17,0.516,33,64,0.588,10,17,11,25,32,41,,,13,23,4,1st -- 07:52,4,1,17,18,37,16,88,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_ct5m.xml?view=teamstats,UNB,2014-15,0.769,20,26,0.429,27,63,0.5,7,14,6,8,35,81,,,11,17,13,4th -- 06:14,7,4,23,18,16,24,81,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_ct5m.xml?view=teamstats,York,2014-15,0.614,27,44,0.344,21,61,0.176,3,17,8,5,42,72,,,18,14,6,2nd -- 08:00,7,4,23,10,16,23,72,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_iy63.xml?view=teamstats,Queen's,2014-15,0.375,6,16,0.357,20,56,0.353,6,17,11,9,45,19,,,17,21,4,4th -- 01:03,10,5,13,8,10,21,52,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_iy63.xml?view=teamstats,UQAM,2014-15,0.52,13,25,0.279,17,61,0.111,1,9,14,6,58,9,,,15,19,11,3rd -- 08:21,10,5,15,13,13,7,48,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_stxj.xml?view=teamstats,Alberta,2014-15,0.714,10,14,0.365,19,52,0.429,6,14,8,11,34,6,,,12,16,8,3rd -- 04:56,7,8,17,17,11,9,54,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_stxj.xml?view=teamstats,Lakehead,2014-15,0.471,8,17,0.4,20,50,0.45,9,20,8,13,36,14,,,4,15,14,4th -- 01:06,7,8,13,19,15,21,68,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_tl53.xml?view=teamstats,UBC,2014-15,0.758,25,33,0.415,27,65,0.348,8,23,16,20,44,19,8,34,5,16,2,1st -- 09:52,5,3,22,19,19,27,87,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_tl53.xml?view=teamstats,Windsor,2014-15,0.529,9,17,0.442,34,77,0.419,13,31,15,22,38,25,8,32,18,11,11,3rd -- 07:55,5,3,24,23,18,25,90,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141019_ef1h.xml?view=teamstats,Laurier,2014-15,0.68,17,25,0.425,34,80,0.333,6,18,17,13,54,33,,,21,11,24,3rd -- 09:20,3,3,17,34,19,21,91,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141019_ef1h.xml?view=teamstats,Manitoba,2014-15,0.696,16,23,0.463,31,67,0.385,5,13,8,7,42,12,,,8,21,6,1st -- 05:41,3,3,16,12,31,24,83,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141024_yrab.xml?view=teamstats,McMaster,2014-15,0.576,19,33,0.348,23,66,0.136,6,44,6,11,51,35,0,0,22,26,21,4th -- 09:34,0,1,17,18,23,15,73,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141024_yrab.xml?view=teamstats,StFX,2014-15,0.524,11,21,0.333,22,66,0.051,2,39,12,5,41,24,0,0,21,27,0,--,0,1,9,14,19,15,57,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141025_13uq.xml?view=teamstats,Acadia,2014-15,0.571,16,28,0.459,28,61,0.407,11,27,5,14,25,35,0,0,11,14,5,1st -- 03:25,11,13,29,13,21,20,83,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141025_13uq.xml?view=teamstats,McMaster,2014-15,0.69,29,42,0.377,26,69,0.333,8,24,24,11,50,23,0,4,10,14,8,3rd -- 07:13,11,13,26,22,17,24,89,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141025_92bp.xml?view=teamstats,Laurentian,2014-15,0.656,21,32,0.527,29,55,0.333,6,18,10,13,26,6,,,21,9,14,4th -- 09:44,4,4,27,20,28,10,85,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141025_92bp.xml?view=teamstats,UBC Okanagan,2014-15,0.727,16,22,0.466,27,58,0.421,8,19,17,11,48,23,,,6,23,9,2nd -- 03:30,4,4,21,27,15,15,78,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141026_wkdk.xml?view=teamstats,Cape Breton,2014-15,0.615,24,39,0.564,31,55,0.308,4,13,14,12,33,45,0,0,20,20,5,1st -- 04:37,13,8,24,16,18,32,90,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141026_wkdk.xml?view=teamstats,McMaster,2014-15,0.68,17,25,0.434,36,83,0.308,8,26,15,10,38,32,0,0,28,17,17,3rd -- 03:41,13,8,24,25,24,24,97,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141026_xoiw.xml?view=teamstats,Guelph,2014-15,0.727,8,11,0.354,28,79,0.227,5,22,7,10,24,69,0,0,24,11,7,1st -- 07:48,10,4,25,12,14,18,69,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141026_xoiw.xml?view=teamstats,UBC,2014-15,0.722,26,36,0.48,24,50,0.214,3,14,5,12,40,26,0,0,5,24,11,4th -- 02:52,10,4,19,18,19,21,77,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141105_5n7o.xml?view=teamstats,Western,2014-15,0.5,9,18,0.333,21,63,0.267,4,15,0,6,29,18,0,28,12,19,,,0,0,12,13,11,19,55,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141105_5n7o.xml?view=teamstats,Windsor,2014-15,0.769,10,13,0.493,34,69,0.269,7,26,4,8,46,29,0,50,19,18,,,0,0,30,19,16,20,85,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141105_crqs.xml?view=teamstats,Ryerson,2014-15,0.7,21,30,0.439,29,66,0.308,8,26,5,9,46,87,,,25,15,,,0,0,20,20,29,18,87,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141105_crqs.xml?view=teamstats,Waterloo,2014-15,0.652,15,23,0.327,16,49,0.28,7,25,4,5,27,54,,,8,17,,,0,0,9,13,17,15,54,0,1
