GameID,Team,Season,FT%Diff,FTMDiff,FTADiff,FG%Diff,FGMDiff,FGADiff,3Point%Diff,3PMDiff,3PADiff,SecondChancePtsDiff,AssistsDiff,ReboundsDiff,BenchPointsDiff,FastbreakPtsDiff,PointsinthePaintDiff,PointsOffTurnoversDiff,TurnoversDiff,LargestLeadDiff,TimeofLargestLead,LeadChanges,Ties,FirstQtr,SecondQtr,ThirdQtr,FourthQtr,TotalPoints,Win,Home
http://oua.ca/sports/mbkb/2014-15/boxscores/20141003_wswk.xml?view=teamstats,Guelph,2014-15,0.001,-11,-19,-0.113,1,20,0.071,6,16,13,0,3,11,,,-1,2,-1,1st -- 02:02,12,8,22,18,17,18,75,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141003_wswk.xml?view=teamstats,Queen's,2014-15,-0.001,11,19,0.113,-1,-20,-0.071,-6,-16,-13,0,-3,-11,,,1,-2,1,4th -- 07:17,12,8,18,26,18,16,78,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141004_i0t0.xml?view=teamstats,Queen's,2014-15,0.168,1,-6,-0.047,-6,-9,0.06,2,4,-7,-4,-12,-1,,,-13,2,-2,1st -- 06:29,5,8,12,16,20,12,60,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141004_i0t0.xml?view=teamstats,Trinity Western,2014-15,-0.168,-1,6,0.047,6,9,-0.06,-2,-4,7,4,12,1,,,13,-2,2,2nd -- 09:01,5,8,18,15,15,21,69,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141004_wj8p.xml?view=teamstats,Dalhousie,2014-15,-0.129,-1,3,0.14,5,-8,0.043,-1,-6,-1,1,5,20,0,0,2,5,5,4th -- 03:59,7,7,17,22,24,22,85,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141004_wj8p.xml?view=teamstats,Toronto,2014-15,0.129,1,-3,-0.14,-5,8,-0.043,1,6,1,-1,-5,-20,0,0,-2,-5,-5,1st -- 03:00,7,7,24,16,16,21,77,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141005_kxa2.xml?view=teamstats,Dalhousie,2014-15,-0.005,-4,-5,-0.038,-5,-5,-0.088,-6,-9,-6,-5,-3,-20,,,-14,-1,-24,2nd -- 10:00,8,2,21,20,17,18,76,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141005_kxa2.xml?view=teamstats,York,2014-15,0.005,4,5,0.038,5,5,0.088,6,9,6,5,3,20,,,14,1,24,4th -- 03:38,8,2,22,20,34,20,96,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141005_ph9j.xml?view=teamstats,McGill,2014-15,0.029,4,6,-0.222,-8,15,-0.217,-4,5,8,-6,0,10,,,8,-6,,,0,0,6,16,17,22,61,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141005_ph9j.xml?view=teamstats,Queen's,2014-15,-0.029,-4,-6,0.222,8,-15,0.217,4,-5,-8,6,0,-10,,,-8,6,,,0,0,22,15,18,22,77,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141015_zr3r.xml?view=teamstats,Laurier,2014-15,-0.157,-15,-18,-0.196,-6,16,-0.024,1,7,11,-5,-4,20,-10,-12,-10,6,-26,--,0,0,8,16,24,15,63,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141015_zr3r.xml?view=teamstats,Saint Mary's,2014-15,0.157,15,18,0.196,6,-16,0.024,-1,-7,-11,5,4,-20,10,12,10,-6,26,4th -- 01:31,0,0,23,24,18,24,89,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141016_36ce.xml?view=teamstats,Dalhousie,2014-15,-0.175,8,20,0.011,2,3,-0.171,-4,-3,9,-4,9,3,0,26,10,-10,22,3rd -- 07:47,0,0,25,19,23,20,87,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141016_36ce.xml?view=teamstats,Laurier,2014-15,0.175,-8,-20,-0.011,-2,-3,0.171,4,3,-9,4,-9,-3,0,-26,-10,10,-22,--,0,0,17,9,32,21,79,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141016_mxzn.xml?view=teamstats,Trinity Western,2014-15,0.0209999999999999,-6,-8,-0.042,-1,4,-0.199,-4,-1,7,0,2,7,0,8,-4,6,-11,1st -- 05:38,1,3,16,17,19,15,67,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141016_mxzn.xml?view=teamstats,Western,2014-15,-0.0209999999999999,6,8,0.042,1,-4,0.199,4,1,-7,0,-2,-7,0,-8,4,-6,11,4th -- 07:18,1,3,23,18,22,16,79,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141017_kceo.xml?view=teamstats,Thompson Rivers,2014-15,0.031,0,-1,-0.107,-12,-13,-0.155,-6,-7,-2,-11,-4,-4,,,-28,10,,,0,2,14,11,21,15,61,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141017_kceo.xml?view=teamstats,Windsor,2014-15,-0.031,0,1,0.107,12,13,0.155,6,7,2,11,4,4,,,28,-10,,,0,2,27,24,14,26,91,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141017_z3je.xml?view=teamstats,UBC,2014-15,-0.0690000000000001,2,5,0.203,9,-6,0.047,-3,-13,4,7,15,5,0,32,-2,5,18,4th -- 00:58,0,2,18,17,24,28,87,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141017_z3je.xml?view=teamstats,Western,2014-15,0.0690000000000001,-2,-5,-0.203,-9,6,-0.047,3,13,-4,-7,-15,-5,0,-32,2,-5,-18,--,0,2,9,19,22,20,70,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_1jun.xml?view=teamstats,Thompson Rivers,2014-15,0.191,1,-3,0.161,3,-12,0.294,5,-2,7,9,20,-8,-2,-14,-10,9,19,3rd -- 05:10,1,0,19,28,11,22,80,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_1jun.xml?view=teamstats,Western,2014-15,-0.191,-1,3,-0.161,-3,12,-0.294,-5,2,-7,-9,-20,8,2,14,10,-9,-19,2nd -- 09:48,1,0,18,14,18,18,68,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_2m26.xml?view=teamstats,Ottawa,2014-15,0.027,-1,-2,0.042,10,13,-0.213,-1,7,6,-2,8,-13,,,18,-10,16,4th -- 01:31,4,1,29,22,24,31,106,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_2m26.xml?view=teamstats,StFX,2014-15,-0.027,1,2,-0.042,-10,-13,0.213,1,-7,-6,2,-8,13,,,-18,10,-16,1st -- 07:52,4,1,17,18,37,16,88,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_ct5m.xml?view=teamstats,UNB,2014-15,0.155,-7,-18,0.085,6,2,0.324,4,-3,-2,3,-7,9,,,-7,3,7,4th -- 06:14,7,4,23,18,16,24,81,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_ct5m.xml?view=teamstats,York,2014-15,-0.155,7,18,-0.085,-6,-2,-0.324,-4,3,2,-3,7,-9,,,7,-3,-7,2nd -- 08:00,7,4,23,10,16,23,72,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_iy63.xml?view=teamstats,Queen's,2014-15,-0.145,-7,-9,0.078,3,-5,0.242,5,8,-3,3,-13,10,,,2,2,-7,4th -- 01:03,10,5,13,8,10,21,52,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_iy63.xml?view=teamstats,UQAM,2014-15,0.145,7,9,-0.078,-3,5,-0.242,-5,-8,3,-3,13,-10,,,-2,-2,7,3rd -- 08:21,10,5,15,13,13,7,48,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_stxj.xml?view=teamstats,Alberta,2014-15,0.243,2,-3,-0.035,-1,2,-0.021,-3,-6,0,-2,-2,-8,,,8,1,-6,3rd -- 04:56,7,8,17,17,11,9,54,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_stxj.xml?view=teamstats,Lakehead,2014-15,-0.243,-2,3,0.035,1,-2,0.021,3,6,0,2,2,8,,,-8,-1,6,4th -- 01:06,7,8,13,19,15,21,68,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_tl53.xml?view=teamstats,UBC,2014-15,0.229,16,16,-0.027,-7,-12,-0.071,-5,-8,1,-2,6,-6,0,2,-13,5,-9,1st -- 09:52,5,3,22,19,19,27,87,0,1
